Papertag,Molecule1,Molecule2,Membrane,molp1,molp2,molpm,Temperature,WTp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1ATR303POPC,ATR,0,POPC,20,0,80,303,NULL,0.21,0.205,0.201,0.198,0.193,0.188,0.181,0.169,0.153,0.134,0.118,0.099,0.083,0.062,0.02
1FLU303POPC,FLU,0,POPC,20,0,80,303,50,0.209,0.203,0.197,0.192,0.186,0.18,0.17,0.154,0.14,0.123,0.109,0.095,0.08,0.064,0.016
1MIM298POPCG,MIM,0,POPC,77,0,100,298,50,0.191,0.186,0.181,0.176,0.171,0.161,0.147,0.135,0.117,0.106,0.092,0.081,0.068,0.055,0.017
1PIT303POPC,PIT,0,POPC,20,0,80,303,50,0.205,0.2,0.198,0.189,0.187,0.182,0.178,0.16,0.147,0.128,0.113,0.095,0.08,0.06,0.018
1POPC300POPC,0,0,POPC,0,0,100,300,NULL,0.2188049561530251,0.21280599998820526,0.20848116083907836,0.20516079189936723,0.20184042295965607,0.19785040721366778,0.1874987468080464,0.18016093933371471,0.1704789257343705,0.1510870334440074,0.1370523156038616,0.11665595310408275,0.09860379672931643,0.07519446590433282,0.02365996921570826
1RUX303POPC,RUX,0,POPC,20,0,80,303,50,0.1875,0.1805,0.1723,0.1648,0.1543,0.1426,0.1332,0.1199,0.1094,0.1,0.08789,0.07617,0.06328,0.04336,0.01563
1SER298POPC,CHL,0,POPC,30,0,60,298,50,0.385,0.378,0.372,0.366,0.358,0.35,0.341,0.327,0.315,0.302,0.287,0.26,0.218,0.162,0.043
1SER298POPC,SER,0,POPC,10,0,90,298,50,0.22,0.214,0.21,0.207,0.203,0.196,0.189,0.182,0.171,0.155,0.142,0.123,0.104,0.078,0.021
1SER298POPC,SER,CHL,POPC,10,30,60,298,50,0.37,0.365,0.36,0.353,0.345,0.335,0.327,0.307,0.299,0.283,0.262,0.232,0.201,0.15,0.042
1TOC323POPC,0,0,POPC,0,0,100,323,NULL,0.19372621944892837,0.19371204820951454,0.19357035437732975,0.19309250376552484,0.19201190597443668,0.19001661708135148,0.18675616699615516,0.18184605235508014,0.1748709862696596,0.16538739010186362,0.1529253821412727,0.13699041203601428,0.11706463463025439,0.09260808550438204,0.017910447761194
1TOC323POPC,TOC,0,POPC,20,0,80,323,NULL,0.22422515167923843,0.22422308013778486,0.2241860306895413,0.22400693361852977,0.22348635064762526,0.2223225591033607,0.22010409263442987,0.21630364270951122,0.21027284927115644,0.20123772577311602,0.18829456314904622,0.17040621004286977,0.1463986575568911,0.11495787620904564,0.025
1UDC303POPC,UDC,0,POPC,10,0,90,303,40,0.2119,0.2031,0.1982,0.1924,0.1875,0.1816,0.1729,0.1592,0.1475,0.1309,0.1182,0.1025,0.08691,0.06641,0.01758
1UDC303POPC,UDC,0,POPC,30,0,70,303,40,0.2119,0.2041,0.1982,0.1943,0.1885,0.1826,0.1758,0.165,0.1523,0.1406,0.125,0.1113,0.09277,0.07129,0.01953
1UDC303POPC,UDC,0,POPC,50,0,50,303,40,0.209,0.2012,0.1963,0.1914,0.1855,0.1797,0.1709,0.1553,0.1426,0.126,0.1123,0.09668,0.08105,0.06152,0.01758
2COR310POPC,FAV,0,POPC,10,0,90,310,50,0.202,0.1945,0.1906,0.1871,0.1816,0.1758,0.1664,0.1559,0.141,0.1262,0.1117,0.09648,0.08047,0.06172,0.01797
2COR310POPC,REM,0,POPC,10,0,90,310,50,0.2012,0.1902,0.1855,0.1809,0.1742,0.1684,0.1563,0.1418,0.1277,0.1121,0.1008,0.08633,0.07227,0.0543,0.01797
2CPC303POPC,C1C,0,POPC,25,0,75,303,50,0.20750000000000002,0.201,0.1945,0.1885,0.1825,0.17400000000000002,0.16200000000000003,0.14850000000000002,0.136,0.12000000000000002,0.10850000000000001,0.09450000000000003,0.08050000000000002,0.061,0.017000000000000015
2CPC303POPC,C6C,0,POPC,25,0,75,303,50,0.20350000000000001,0.197,0.192,0.186,0.1795,0.1715,0.1595,0.14850000000000002,0.1355,0.1225,0.11050000000000001,0.0965,0.08100000000000002,0.06250000000000003,0.017000000000000015
2EST303POPC,EST,0,POPC,10,0,90,303,40,0.213,0.208,0.205,0.201,0.196,0.189,0.18,0.17,0.156,0.14,0.128,0.11,0.093,0.071,0.021
2EST303POPC,EST,0,POPC,20,0,80,303,40,0.213,0.207,0.203,0.199,0.195,0.19,0.181,0.172,0.158,0.141,0.128,0.11,0.093,0.07,0.021
