Papertag,Molecule1,Molecule2,Membrane,molp1,molp2,molpm,Temperature,WTp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1MIM298POPCG,0,0,POPC,0,0,100,298,50,0.219,0.213,0.209,0.206,0.202,0.196,0.189,0.182,0.172,0.155,0.141,0.122,0.103,0.077,0.023
1MIM298POPCG,MIM,0,POPC,76.8,0,100,298,50,0.191,0.186,0.181,0.176,0.171,0.161,0.147,0.135,0.117,0.106,0.092,0.081,0.068,0.055,0.017
1POPC300POPC,0,0,POPC,0,0,100,300,NULL,0.2188049561530251,0.21280599998820526,0.20848116083907836,0.20516079189936723,0.20184042295965607,0.19785040721366778,0.1874987468080464,0.18016093933371471,0.1704789257343705,0.1510870334440074,0.1370523156038616,0.11665595310408275,0.09860379672931643,0.07519446590433282,0.02365996921570826
2ASS303POPC,ASS,0,POPC,20,0,80,303,50,0.214,0.211,0.209,0.204,0.198,0.193,0.186,0.168,0.153,0.135,0.123,0.105,0.089,0.068,0.016
2ASS303POPC,ASS,CHL,POPC,20,20,80,303,50,0.282,0.276,0.27,0.263,0.255,0.247,0.238,0.223,0.205,0.188,0.166,0.146,0.117,0.079,0.013
2COR310POPC,0,0,POPC,0,0,100,310,50,0.2008,0.1953,0.1914,0.1883,0.1836,0.1773,0.168,0.1586,0.1434,0.1281,0.1125,0.0957,0.08125,0.06328,0.01719
2COR310POPC,FAV,0,POPC,10,0,90,310,50,0.202,0.1945,0.1906,0.1871,0.1816,0.1758,0.1664,0.1559,0.141,0.1262,0.1117,0.09648,0.08047,0.06172,0.01797
2COR310POPC,REM,0,POPC,10,0,90,310,50,0.2012,0.1902,0.1855,0.1809,0.1742,0.1684,0.1563,0.1418,0.1277,0.1121,0.1008,0.08633,0.07227,0.0543,0.01797
2EST303POPC,0,0,POPC,0,0,100,303,40,0.2095,0.2035,0.1996,0.196,0.1918,0.1857,0.1783,0.1708,0.1573,0.1413,0.1282,0.1104,0.09304,0.0696,0.01989
2EST303POPC,EST,0,POPC,10,0,90,303,40,0.213,0.208,0.205,0.201,0.196,0.189,0.18,0.17,0.156,0.14,0.128,0.11,0.093,0.071,0.021
2EST303POPC,EST,0,POPC,20,0,80,303,40,0.213,0.207,0.203,0.199,0.195,0.19,0.181,0.172,0.158,0.141,0.128,0.11,0.093,0.07,0.021
2FLV303POPC,0,0,POPC,0,0,100,303,40,0.207,0.2044,0.2005,0.1979,0.194,0.1862,0.181,0.1732,0.1602,0.1471,0.1341,0.1146,0.09635,0.07292,0.02083
2FLV303POPC,FLV,0,POPC,25,0,75,303,40,0.2227,0.2174,0.2122,0.2096,0.2031,0.1966,0.1862,0.1745,0.1589,0.1419,0.1276,0.1107,0.09375,0.07031,0.02083
2FLV303POPC,LUT,0,POPC,25,0,75,303,40,0.2174,0.2122,0.207,0.2018,0.1966,0.1901,0.1823,0.1719,0.1576,0.1419,0.1289,0.1133,0.09766,0.07422,0.02083
2IMA303POPC,IMA,CHL,POPC,20,20,80,303,50,0.2896,0.2817,0.2766,0.271,0.2637,0.2546,0.2456,0.2363,0.2217,0.2019,0.1758,0.1484,0.1143,0.06616,0.02979
2RES303POPCE,0,0,POPC,0,0,100,303,50,0.216,0.211,0.208,0.204,0.201,0.194,0.186,0.178,0.164,0.148,0.136,0.117,0.098,0.073,0.022
2RES303POPCE,POPE,0,POPC,33,0,66,303,50,0.238,0.234,0.231,0.228,0.225,0.219,0.212,0.205,0.195,0.176,0.157,0.134,0.113,0.088,0.026
2RES303POPCE,REG,0,POPC,20,0,80,303,50,0.212,0.207,0.203,0.196,0.19,0.184,0.168,0.155,0.14,0.125,0.111,0.096,0.082,0.062,0.018
2RES303POPCE,REG,POPE,POPC,20,33,66,303,50,0.231,0.227,0.223,0.219,0.214,0.208,0.2,0.191,0.174,0.16,0.145,0.126,0.107,0.08,0.023
2RES303POPCE,SOR,0,POPC,20,0,80,303,50,0.211,0.206,0.2,0.194,0.188,0.177,0.166,0.153,0.138,0.125,0.109,0.093,0.075,0.052,0.02
2RES303POPCE,SOR,POPE,POPC,20,33,66,303,50,0.226,0.219,0.213,0.207,0.199,0.191,0.178,0.165,0.152,0.138,0.123,0.107,0.089,0.068,0.022
2SPI303POPC,0,0,POPC,0,0,100,303,40,0.216,0.211,0.208,0.204,0.201,0.194,0.186,0.178,0.164,0.148,0.136,0.117,0.098,0.073,0.022
2SPI303POPC,CHL,0,POPC,10,0,90,303,40,0.254,0.247,0.242,0.237,0.232,0.225,0.218,0.211,0.199,0.182,0.164,0.145,0.122,0.092,0.027
2SPI303POPC,CHL,0,POPC,20,0,80,303,40,0.286,0.281,0.276,0.271,0.264,0.257,0.248,0.24,0.23,0.216,0.201,0.175,0.147,0.109,0.03
2SPI303POPC,CHL,0,POPC,30,0,70,303,40,0.327,0.321,0.316,0.31,0.302,0.293,0.281,0.269,0.262,0.247,0.227,0.204,0.173,0.13,0.036
2SPI303POPC,SPI,0,POPC,10,0,90,303,40,0.243,0.237,0.233,0.228,0.22,0.213,0.207,0.196,0.183,0.168,0.152,0.133,0.115,0.088,0.025
2SPI303POPC,SPI,0,POPC,20,0,80,303,40,0.25,0.244,0.239,0.235,0.229,0.221,0.214,0.205,0.189,0.174,0.155,0.136,0.115,0.089,0.027
2TOC303MULTI,0,0,POPC,0,0,100,303,50,0.21360691144708424,0.2055075593952484,0.20097192224622032,0.19676025917926565,0.192548596112311,0.18606911447084235,0.17829373650107994,0.1705183585313175,0.15853131749460042,0.14622030237580994,0.13228941684665227,0.11252699784017278,0.09406047516198704,0.07008639308855291,0.020194384449244013
2TOC303MULTI,TOC,0,POPC,10,0,90,303,50,0.22591792656587475,0.21749460043196545,0.21263498920086393,0.20907127429805616,0.2045356371490281,0.1980561555075594,0.19060475161987042,0.18315334773218145,0.17084233261339093,0.15950323974082073,0.14395248380129588,0.12224622030237581,0.10183585313174945,0.07559395248380127,0.02213822894168463
2TOL303POPC,LAP,0,POPC,20,0,80,303,50,0.218,0.213,0.207,0.202,0.195,0.186,0.175,0.161,0.145,0.132,0.114,0.098,0.078,0.052,0.02
2TOL303POPC,TOF,0,POPC,20,0,80,303,50,0.211,0.206,0.201,0.196,0.188,0.181,0.172,0.158,0.145,0.132,0.116,0.1,0.08,0.056,0.022
