TAG	NAME				SMILES
3MI	3-Me Indole			Cc1c[nH]c2ccccc12
IDO	Indole				c2ccc1[nH]ccc1c2
NMI	N-Me Indole			Cn2ccc1ccccc12
IND	Indene				C2=Cc1ccccc1C2

TOC	alpha-Tocopherol		Cc2c(C)c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CCc1c(C)c2O

#C3P	Cholesterol-3-Phosphat		CC(C)CCC[C@@H](C)C3CCC4C2CC=C1C[C@@H](OS(=O)(=O)O)CC[C@]1(C)C2CC[C@]34C
CHL	Cholesterol			CC(C)CCC[C@@H](C)C3CCC4C2CC=C1CC(O)CC[C@]1(C)C2CC[C@]34C
LAN	Lanosterol			C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
ERG	Ergosterol			C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C

#LOX	LOX-PAPC			CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCC(C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CC(CCCCC)C(=O)O
#HYX	HYX-PAPC			CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCC(C)(C)C)OC(=O)CCCC=CCC=CCC(O)CC=CC(O)CCCCC
#
#ESM	EggSphingomyelin		CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)OCC[N+](C)(C)C)NC=O)O
BXR	Bexarotene			C=C(c1ccc(C(=O)O)cc1)c2cc3c(cc2C)C(C)(C)CCC3(C)C		
EST	Estradiol			C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
POPG	POPG				CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO

LVA	Lovastatin			CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
CVS	Cerivastatin			CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O
ATV	Atorvastatin			CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
PVS	Pravastatin			CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
FVS	Fluvastatin			CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F
RVS	Rosuvastatin			CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C

DSM	Desmosterol			C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
DHC	Dehydrocholesterol		C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C

5DX	PS-5-doxyl-PC			CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCC1(CCCCCCCCCCCCC)OCC(C)(C)N1O
0DX	PS-10-doxyl-PC			CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC1(CCCCCCCC)OCC(C)(C)N1O
6DX	PS-16-doxyl-PC			CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC1(CC)OCC(C)(C)N1O

TPA	tPA				CCC=CC=CC=CC=CCCCCCCCC(=O)O
DPH	DPH				C(=CC=Cc1ccccc1)C=Cc2ccccc2
ODP	O-DPH-PC			CCCCCCCCC=CCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCc2ccc(C=CC=CC=Cc1ccccc1)cc2

BNZ	C12BNZ				CCCCCCCCCCCC[n+]2cn(C)c1ccccc12
MIM	C12MIM				CCCCCCCCCCCC[n+]1ccn(C)c1
PYR	C12PYR				CCCCCCCCCCCC[N+]1(C)CCCC1
PIP	C12PIP				CCCCCCCCCCCC[N+]1(C)CCCCC1
MPH	C12MPH				CCCCCCCCCCCC[N+]1(C)CCOCC1
AMM	C12AMM				CCCCCCCCCCCC[N+](C)(C)C

POPC	POPC				CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPE	POPE				CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+]

REG	Regoragenib			CNC(=O)c3cc(Oc2ccc(NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)c(F)c2)ccn3
SOR	Sorafenib			CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
LAP	Lapatinib			CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
TOF	Tofacitinib			C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
---cont here
FLV	Flavone				O=c2cc(c1ccccc1)oc3ccccc23
LUT	Luteolin			O=c2cc(c1ccc(O)c(O)c1)oc3cc(O)cc(O)c23
MTT	Mitotane			Clc2ccc(C(c1ccccc1Cl)C(Cl)Cl)cc2
DDA	opDDA				O=C(O)C(c1ccc(Cl)cc1)c2ccccc2Cl
DDE	DDE				ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2

SPI	Spinasterol			CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
WF1	WF109				C[C@@]12CCC(=O)C=C1CCC3C2CC[C@]4(C)C3CC[C@]4(O)C#Cc6cn(C5O[C@@H](CO)[C@H](O)[C@@H]5O)c(=O)[nH]c6=O
WF9	WF90				CCCCCCCCCCCCCCCCC#CC2=CN(C1C[C@@H](O)[C@H](CO)O1)C(=O)CC2=O

CC1	CC12				CCCCCCCCCCCCCCCCC#Cc2nc1c(N)ncnc1n2C3O[C@@H](CO)[C@H](O)[C@@H]3O
24R	24-R-Hydroxycholesterol		CC(C)[C@H](O)CC[C@@H](C)[C@H]3CCC4C2CC=C1C[C@@H](O)CC[C@]1(C)C2CC[C@]34C
